OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,bPM,ePM,PMSuffix,bPMc,ePMc,bOdometer,eOdometer,AlignCode,RouteType,Direction,Shape_Length
4246,89,,89,SIS089.R.L,SIS,2,R,1.209,1.744,,R1.209,R1.744,210.27,210.805,Left,State,SB,1156.55621081011
4247,101,,101,SB.101...R,SB,5,,52.501,56.089,,52.501,56.089,135.213,138.801,Right,US,NB,7047.92251483388
4248,89,,89,SIS089...L,SIS,2,,0,1.209,,0.0,1.209,209.061,210.27,Left,State,SB,2483.43446774758
4249,89,,89,SHA089.R.L,SHA,2,R,35.593,36.186,,R35.593,R36.186,201.324,201.917,Left,State,SB,1274.65653147052
4250,132,,132,STA132...L,STA,10,,14.983,31.175,,14.983,31.175,23.603,39.795,Left,State,WB,32681.5264629575
4251,99,,99,TUL099...R,TUL,6,,39.505,53.232,,39.505,53.232,97.92,111.647,Right,State,NB,27723.8254539124
4252,89,,89,SHA089...L,SHA,2,,0,35.593,,0.0,35.593,165.731,201.324,Left,State,SB,75861.3536728265
4253,89,,89,TEH089...L,TEH,2,,0.154,4.403,,0.154,4.403,161.482,165.731,Left,State,SB,8964.56721149379
4254,180,,180,FRE180...L,FRE,6,,23.5,53.601,,23.5,53.601,0,30.101,Left,State,WB,60501.6100639453
4255,89,,89,TEH089.R.L,TEH,2,R,0.01,0.154,,R0.01,R0.154,161.338,161.482,Left,State,SB,303.65633972088
4256,89,,89,PLU089.R.L,PLU,2,R,37.394,42.185,,R37.394,R42.185,156.547,161.338,Left,State,SB,10093.7395492247
4257,89,,89,PLU089...L,PLU,2,,8.72,37.394,,8.72,37.394,127.873,156.547,Left,State,SB,60306.8977350326
4258,89,,89,PLU089...L,PLU,2,,3.192,8.71,,3.192,8.71,122.355,127.873,Left,State,SB,11169.6666372216
4259,138,,138,SBD138.R.R,SBD,8,R,23.701,30.872,,R23.701,R30.872,91.642,98.813,Right,State,EB,13975.447792951
4260,89,,89,PLU089.R.L,PLU,2,R,2.755,3.177,,R2.755,R3.177,121.933,122.355,Left,State,SB,753.612427739347
4261,89,,89,PLU089...L,PLU,2,,2.396,2.755,,2.396,2.755,121.574,121.933,Left,State,SB,506.327230439781
4262,142,,142,ORA142...R,ORA,12,,1.782,6.35,,1.782,6.35,1.182,5.75,Right,State,EB,8622.2255094252
4263,89,,89,PLU089.R.L,PLU,2,R,0.601,2.378,,R0.601,R2.378,119.797,121.574,Left,State,SB,3873.15506729053
4264,89,,89,PLU089...L,PLU,2,,0,0.601,,0.0,0.601,119.196,119.797,Left,State,SB,796.734765066123
4265,178,,178,KER178...L,KER,6,,8.153,10.943,,8.153,10.943,8.316,11.106,Left,State,WB,5529.61442366626
4266,160,,160,SAC160.L.L,SAC,3,L,0,10.783,,L0.0,L10.783,2.466,13.249,Left,State,SB,22112.2609343628
4267,89,,89,SIE089...L,SIE,3,,0,29.584,,0.0,29.584,89.612,119.196,Left,State,SB,61750.6963293916
4268,198,,198,KIN198.T.L,KIN,6,T,21.553,22.006,,T21.553,T22.006,90.368,90.821,Left,State,WB,903.046920443814
4269,95,,95,SBD095...L,SBD,8,,0,3.702,,0.0,3.702,36.587,40.289,Left,US,SB,7196.00195694084
4270,89,,89,NEV089...L,NEV,3,,1.138,8.702,,1.138,8.702,82.048,89.612,Left,State,SB,16025.342061934
4271,89,,89,NEV089.R.L,NEV,3,R,0.53,1.108,,R0.53,R1.108,81.47,82.048,Left,State,SB,1254.10160399849
4272,182,,182,MNO182.R.R,MNO,9,R,5.978,6.406,,R5.978,R6.406,5.978,6.406,Right,State,NB,879.666895514134
4273,89,,89,NEV089...L,NEV,3,,0,0.658,,0.0,0.658,80.812,81.47,Left,State,SB,1426.95146618908
4274,89,,89,PLA089...L,PLA,3,,8.614,21.677,,8.614,21.677,67.749,80.812,Left,State,SB,27114.201329491
4275,89,,89,PLA089.R.L,PLA,3,R,8.207,8.481,,R8.207,R8.481,67.475,67.749,Left,State,SB,520.466623263656
4276,89,,89,PLA089.T.L,PLA,3,T,8.501,8.673,,T8.501,T8.673,67.303,67.475,Left,State,SB,315.198228908211
4277,132,,132,TUO132.R.L,TUO,10,R,0.401,0.46,,R0.401,R0.46,59.969,60.028,Left,State,WB,129.739818632619
4278,89,,89,PLA089...L,PLA,3,,0,8.501,,0.0,8.501,58.802,67.303,Left,State,SB,17676.2786059041
4279,89,,89,ED.089...L,ED,3,,17.98,27.406,,17.98,27.406,49.376,58.802,Left,State,SB,19413.955696169
4280,178,,178,KER178.R.L,KER,6,R,30.71,44.191,,R30.71,R44.191,29.364,42.845,Left,State,WB,26721.5447719035
4281,89,,89,ED.089.R.L,ED,3,R,17.362,17.98,,R17.362,R17.98,48.758,49.376,Left,State,SB,1247.88664583785
4282,89,,89,ED.089...L,ED,3,,8.56,17.362,,8.56,17.362,39.956,48.758,Left,State,SB,17887.4159442008
